what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1399655621527
started,bundle,org.eclipse.gmf.runtime.emf.ui.properties,1.4.0.v20100304-2359,"org.eclipse.gmf.runtime.emf.ui.properties",1399655647901
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655681868
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655696445
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655697973
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655704829
activated,editor,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1399655710105
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1399655731932
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655743698
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655747794
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1399655766354
activated,editor,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1399655772334
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655777441
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655796780
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655820187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655827134
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655833932
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655836589
started,bundle,org.eclipse.ocl,3.0.2.R30x_v201101110610,"org.eclipse.ocl",1399655840522
started,bundle,org.eclipse.ocl.ecore,3.0.2.R30x_v201101110610,"org.eclipse.ocl.ecore",1399655840547
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655843909
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655846487
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655863349
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655874304
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655881965
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1399655883717
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655883831
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655890724
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655897226
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655900997
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655904811
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655908549
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1399655916596
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655916743
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655924341
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1399655932513
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655932642
activated,editor,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1399655940818
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1399655946946
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655948721
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655949440
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1399655971693
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655974678
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655974843
started,bundle,org.eclipse.emf.mint,0.9.0.v201006142335,"org.eclipse.emf.mint",1399655976907
started,bundle,org.eclipse.emf.mint.ui,0.9.0.v201006142335,"org.eclipse.emf.mint.ui",1399655976909
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1399655977516
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1399655977575
