what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1399662586583
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1399662586584
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1399662586585
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1399662586585
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1399662586586
stopped,bundle,org.eclipse.emf.mint.ui,0.9.0.v201006142335,"org.eclipse.emf.mint.ui",1399662586600
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1399662586601
stopped,bundle,org.eclipse.xpand.ui,1.4.0.v201306110406,"org.eclipse.xpand.ui",1399662586602
stopped,bundle,org.eclipse.emf.generic.editor,1.0.0.v201306110406,"org.eclipse.emf.generic.editor",1399662586603
stopped,bundle,org.eclipse.xtend.check.ui,1.4.0.v201306110406,"org.eclipse.xtend.check.ui",1399662586603
stopped,bundle,org.eclipse.xtend.typesystem.emf.ui,1.4.0.v201306110406,"org.eclipse.xtend.typesystem.emf.ui",1399662586604
stopped,bundle,org.eclipse.xtend.typesystem.uml2.ui,1.4.0.v201306110406,"org.eclipse.xtend.typesystem.uml2.ui",1399662586604
stopped,bundle,org.eclipse.xtend.typesystem.xsd.ui,1.4.0.v201306110406,"org.eclipse.xtend.typesystem.xsd.ui",1399662586605
stopped,bundle,org.eclipse.xtend.ui,1.4.0.v201306110406,"org.eclipse.xtend.ui",1399662586606
stopped,bundle,org.eclipse.xtend.shared.ui,1.4.0.v201306110406,"org.eclipse.xtend.shared.ui",1399662586607
stopped,bundle,org.eclipse.emf.mwe.ui,1.0.2.v201102150556,"org.eclipse.emf.mwe.ui",1399662586608
stopped,bundle,org.eclipse.xtend.backend.ui,1.4.0.v201306110406,"org.eclipse.xtend.backend.ui",1399662586609
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1399662586627
stopped,bundle,org.eclipse.gmf.bridge.ui.dashboard,2.0.100.v20100226-2359,"org.eclipse.gmf.bridge.ui.dashboard",1399662586628
stopped,bundle,org.eclipse.gmf.doc.ui,1.3.0.v20090729-2031,"org.eclipse.gmf.doc.ui",1399662586644
stopped,bundle,org.eclipse.gmf.bridge.ui,1.3.0.v20101217-1532,"org.eclipse.gmf.bridge.ui",1399662586644
stopped,bundle,org.eclipse.gmf.bridge.trace,1.0.200.v200912151755,"org.eclipse.gmf.bridge.trace",1399662586644
stopped,bundle,org.eclipse.gmf.bridge,1.1.100.v20100309-2359,"org.eclipse.gmf.bridge",1399662586645
stopped,bundle,org.eclipse.gmf.codegen.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.codegen.edit",1399662586645
stopped,bundle,org.eclipse.gmf.codegen,2.2.200.v20101209-2359,"org.eclipse.gmf.codegen",1399662586645
stopped,bundle,org.eclipse.gmf.graphdef.codegen,2.0.101.v20100901-2359,"org.eclipse.gmf.graphdef.codegen",1399662586645
stopped,bundle,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.map.edit",1399662586645
stopped,bundle,org.eclipse.gmf.graphdef.edit,2.0.200.v20090216-1925,"org.eclipse.gmf.graphdef.edit",1399662586645
stopped,bundle,org.eclipse.gmf.map,2.2.101.v20100901-2359,"org.eclipse.gmf.map",1399662586645
stopped,bundle,org.eclipse.gmf.tooldef.edit,2.0.100.v20090114-0940,"org.eclipse.gmf.tooldef.edit",1399662586645
stopped,bundle,org.eclipse.gmf.tooldef,2.0.0.v20101216-2359,"org.eclipse.gmf.tooldef",1399662586645
stopped,bundle,org.eclipse.gmf.common,1.2.0.v20101217-1532,"org.eclipse.gmf.common",1399662586645
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1399662586678
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1399662586681
stopped,bundle,org.eclipse.emf.cdo.ui.ide,3.0.0.v20100618-1451,"org.eclipse.emf.cdo.ui.ide",1399662586688
stopped,bundle,org.eclipse.emf.ecoretools,0.10.0.v20100615-1639,"org.eclipse.emf.ecoretools",1399662586689
stopped,bundle,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram",1399662586690
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1399662586690
stopped,bundle,org.eclipse.gmf.ecore.editor,2.2.0.v20100315-2359,"org.eclipse.gmf.ecore.editor",1399662586691
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1399662586695
stopped,bundle,org.eclipse.emf.compare.ui,1.1.2.v20110202-0936,"org.eclipse.emf.compare.ui",1399662586697
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1399662586697
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1399662586697
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1399662586698
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1399662586699
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1399662586701
