what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1392815077887
java.specification.version,sysinfo,,,"1.6",1392815077887
java.vendor,sysinfo,,,"Apple Inc.",1392815077887
java.version,sysinfo,,,"1.6.0_65",1392815077887
java.vm.info,sysinfo,,,"mixed mode",1392815077887
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1392815077887
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1392815077887
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1392815077887
java.vm.specification.version,sysinfo,,,"1.0",1392815077887
java.vm.vendor,sysinfo,,,"Apple Inc.",1392815077887
java.vm.version,sysinfo,,,"20.65-b04-462",1392815077887
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392815098948
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1392815098982
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1392815100589
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1392815101904
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1392815106025
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1392815108376
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1392815108395
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1392815108413
executed,command,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui.runtimeWorkbenchShortcut.run",1392815108509
started,bundle,org.eclipse.pde.build,3.6.1.R36x_v20100823,"org.eclipse.pde.build",1392815108889
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1392815111889
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1392815112056
started,bundle,de.ikv.medini.util.eclipse.core,1.0.0,"de.ikv.medini.util.eclipse.core",1392815112133
started,bundle,de.ikv.medini.qvt.ui,1.2.3,"de.ikv.medini.qvt.ui",1392815112179
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392815118965
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392815279269
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392815282392
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392816137925
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392816141960
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392816159452
executed,command,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui.runtimeWorkbenchShortcut.run",1392816164254
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392816170071
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392816299935
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392816303458
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392816310081
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392816311240
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392816320462
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392816321915
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392817330702
started,bundle,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef",1392817333390
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1392817333392
started,bundle,org.eclipse.emf.transaction,1.4.0.v20100331-1738,"org.eclipse.emf.transaction",1392817333398
started,bundle,org.eclipse.gmf.runtime.diagram.ui,1.4.1.v20100909-1300,"org.eclipse.gmf.runtime.diagram.ui",1392817333401
started,bundle,org.eclipse.gmf.runtime.diagram.ui.resources.editor,1.4.1.v20100729-0030,"org.eclipse.gmf.runtime.diagram.ui.resources.editor",1392817333402
started,bundle,org.eclipse.gmf.runtime.notation,1.4.1.v20100717-0059,"org.eclipse.gmf.runtime.notation",1392817333411
started,bundle,org.eclipse.gmf.runtime.common.core,1.4.0.v20100423-2359,"org.eclipse.gmf.runtime.common.core",1392817333412
started,bundle,org.eclipse.gmf.runtime.common.ui,1.4.0.v20100518-2230,"org.eclipse.gmf.runtime.common.ui",1392817333415
started,bundle,org.eclipse.gmf.runtime.emf.commands.core,1.4.0.v20100423-2359,"org.eclipse.gmf.runtime.emf.commands.core",1392817333417
started,bundle,org.eclipse.gmf.runtime.gef.ui,1.4.0.v20100430-1518,"org.eclipse.gmf.runtime.gef.ui",1392817333431
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1392817333442
started,bundle,org.eclipse.draw2d,3.6.1.v20100913-2020,"org.eclipse.draw2d",1392817333462
started,bundle,org.eclipse.gmf.runtime.common.ui.action,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.common.ui.action",1392817333494
started,bundle,org.eclipse.gmf.runtime.common.ui.services.action,1.4.0.v20100430-1518,"org.eclipse.gmf.runtime.common.ui.services.action",1392817333506
started,bundle,org.eclipse.gmf.runtime.common.ui.services,1.3.0.v20100423-2359,"org.eclipse.gmf.runtime.common.ui.services",1392817333508
started,bundle,org.eclipse.gmf.runtime.diagram.ui.providers,1.4.0.v20100430-1518,"org.eclipse.gmf.runtime.diagram.ui.providers",1392817333584
started,bundle,org.eclipse.gmf.runtime.diagram.ui.actions,1.4.0.v20100223-2359,"org.eclipse.gmf.runtime.diagram.ui.actions",1392817333607
