what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1393534712772
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1393534712773
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1393534712773
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1393534712774
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1393534712774
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1393534712774
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1393534712775
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1393534712775
started,bundle,org.eclipse.net4j,3.0.1.v20100809-0342,"org.eclipse.net4j",1393534712775
started,bundle,org.eclipse.net4j.http.server,3.0.0.v20100626-0739,"org.eclipse.net4j.http.server",1393534712775
started,bundle,org.eclipse.net4j.tcp,3.0.1.v20100716-0944,"org.eclipse.net4j.tcp",1393534712775
started,bundle,org.eclipse.net4j.util,3.0.1.v20100911-0900,"org.eclipse.net4j.util",1393534712775
started,bundle,org.eclipse.net4j.util.ui,3.0.0.v20100618-1451,"org.eclipse.net4j.util.ui",1393534712775
started,bundle,org.eclipse.pde,3.6.1.v201009090800,"org.eclipse.pde",1393534712775
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1393534712775
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1393534712775
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1393534712776
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1393534712776
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1393534712776
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1393534712776
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1393534712776
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1393534712776
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1393534712776
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1393534712776
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1393534712776
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1393534712777
started,bundle,UML,1.0.0,"UML",1393534712777
started,bundle,UML.edit,1.0.0,"UML.edit",1393534712777
started,bundle,UML.editor,1.0.0,"UML.editor",1393534712777
os,sysinfo,,,"macosx",1393534712781
arch,sysinfo,,,"x86_64",1393534712781
ws,sysinfo,,,"cocoa",1393534712781
locale,sysinfo,,,"es_ES",1393534712781
processors,sysinfo,,,"2",1393534712781
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1393534712781
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1393534712781
java.specification.name,sysinfo,,,"Java Platform API Specification",1393534712781
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1393534712781
java.specification.version,sysinfo,,,"1.6",1393534712781
java.vendor,sysinfo,,,"Apple Inc.",1393534712781
java.version,sysinfo,,,"1.6.0_65",1393534712781
java.vm.info,sysinfo,,,"mixed mode",1393534712781
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1393534712781
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1393534712781
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1393534712781
java.vm.specification.version,sysinfo,,,"1.0",1393534712781
java.vm.vendor,sysinfo,,,"Apple Inc.",1393534712781
java.vm.version,sysinfo,,,"20.65-b04-462",1393534712781
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1393534712827
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1393534712911
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1393534712931
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1393534713191
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1393534713268
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1393534713693
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1393534713720
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1393534713820
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1393534713864
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1393534714208
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1393534714349
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1393534714532
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1393534719632
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1393534719644
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1393534902726
activated,editor,UML.editor,1.0.0,"umlMM.presentation.UmlMMEditorID",1393534902795
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1393534904024
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1393534904049
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1393534905615
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1393534908194
